COUNTY,STATE,YEAR,PM2.5 Weighted Mean 24-hr,PM10 Mean 24-hr,SO2 99th Percentile 1-hr,NO2 98th Percentile 1-hr,OBSERVED
Abbeville County, SC,1991,.,.,.,.,1
Abbeville County, SC,1992,.,.,.,.,1
Abbeville County, SC,1993,.,.,.,.,1
Abbeville County, SC,1994,.,.,.,.,1
Abbeville County, SC,1995,.,.,.,.,1
Abbeville County, SC,1996,.,.,.,.,1
Abbeville County, SC,1997,.,.,.,.,1
Abbeville County, SC,1998,.,.,.,.,1
Abbeville County, SC,1999,.,.,.,.,1
Abbeville County, SC,2000,.,.,.,.,1
Abbeville County, SC,2001,.,.,.,.,1
Abbeville County, SC,2002,.,.,.,.,1
Abbeville County, SC,2003,.,.,.,.,1
Abbeville County, SC,2004,.,.,.,.,1
Abbeville County, SC,2005,.,.,.,.,1
Abbeville County, SC,2006,.,.,.,.,1
Abbeville County, SC,2007,.,.,.,.,1
Abbeville County, SC,2008,.,.,.,.,1
Abbeville County, SC,2009,.,.,.,.,1
Abbeville County, SC,2010,.,.,.,.,1
Abbeville County, SC,2011,.,.,.,.,1
Abbeville County, SC,2012,.,.,.,.,1
Abbeville County, SC,2013,.,.,.,.,1
Abbeville County, SC,2014,.,.,.,.,1
Abbeville County, SC,2015,.,.,.,.,1
Abbeville County, SC,2016,.,.,.,.,1
Ada County, ID,1980,.,.,.,.,1
Ada County, ID,1981,.,.,.,.,1
Ada County, ID,1982,.,.,.,.,1
Ada County, ID,1983,.,.,.,.,1
Ada County, ID,1984,.,.,.,.,1
Ada County, ID,1985,.,.,.,.,1
Ada County, ID,1986,.,58,.,.,1
Ada County, ID,1987,.,.,.,.,1
Ada County, ID,1988,.,45,.,.,1
Ada County, ID,1989,.,.,.,.,1
Ada County, ID,1990,.,36,.,.,1
Ada County, ID,1991,.,.,.,.,1
Ada County, ID,1992,.,41,.,.,1
Ada County, ID,1993,.,41,.,.,1
Ada County, ID,1994,.,42,.,.,1
Ada County, ID,1995,.,36,.,.,1
Ada County, ID,1996,.,35,.,.,1
Ada County, ID,1997,.,33,.,.,1
Ada County, ID,1998,.,22,.,56,1
Ada County, ID,1999,9.4,30,.,55,1
Ada County, ID,2000,9.2,34,.,.,1
Ada County, ID,2001,9.9,30,.,.,1
Ada County, ID,2002,10,30,.,.,1
Ada County, ID,2003,8,22,.,.,1
Ada County, ID,2004,.,23,.,.,1
Ada County, ID,2005,8.6,22,.,.,1
Ada County, ID,2006,.,.,.,.,1
Ada County, ID,2007,.,24,.,.,1
Ada County, ID,2008,7.6,.,.,.,1
Ada County, ID,2009,6.3,.,.,.,1
Ada County, ID,2010,5,18,.,45,1
Ada County, ID,2011,.,20,8,.,1
Ada County, ID,2012,.,26,6,.,1
Ada County, ID,2013,.,.,.,.,1
Ada County, ID,2014,.,.,5,.,1
Ada County, ID,2015,8.2,24,3,.,1
Ada County, ID,2016,6.5,21,4,41,1
Ada County, ID,2017,9.1,23,3,.,1
Ada County, ID,2018,7.9,21,3,.,1
Ada County, ID,2019,5.3,19,3,.,1
Ada County, ID,2020,7.7,24,2,43,1
Ada County, ID,2021,10.1,25,2,45,1
Ada County, ID,2022,.,.,.,.,1
Adair County, OK,2003,.,.,.,.,1
Adair County, OK,2004,.,.,.,.,1
Adair County, OK,2005,.,.,.,.,1
Adair County, OK,2006,.,.,.,.,1
Adair County, OK,2007,.,.,.,.,1
Adair County, OK,2008,.,.,.,.,1
Adair County, OK,2009,9.3,16,.,13,1
Adair County, OK,2010,14.2,.,.,.,1
Adair County, OK,2011,.,.,9,.,1
Adair County, OK,2012,.,20,.,.,1
Adair County, OK,2013,.,17,5,.,1
Adair County, OK,2014,.,18,.,.,1
Adair County, OK,2015,.,15,6,.,1
Adair County, OK,2016,.,.,4,.,1
Adair County, OK,2017,.,13,6,.,1
Adair County, OK,2018,.,.,3,.,1
Adair County, OK,2019,.,.,2,.,1
Adair County, OK,2020,.,.,2,.,1
Adair County, OK,2021,.,13,.,.,1
Adair County, OK,2022,.,.,.,.,1
Adams County, CO,1980,.,.,75,.,1
Adams County, CO,1981,.,.,123,149,1
Adams County, CO,1982,.,.,78,.,1
Adams County, CO,1983,.,.,101,170,1
Adams County, CO,1984,.,.,92,.,1
Adams County, CO,1985,.,.,74,132,1
Adams County, CO,1986,.,.,85,133,1
Adams County, CO,1987,.,.,79,134,1
Adams County, CO,1988,.,44,.,.,1
Adams County, CO,1989,.,30,.,.,1
Adams County, CO,1990,.,34,.,.,1
Adams County, CO,1991,.,43,72,.,1
Adams County, CO,1992,.,38,.,.,1
Adams County, CO,1993,.,38,92,.,1
Adams County, CO,1994,.,36,76,.,1
Adams County, CO,1995,.,33,100,78,1
Adams County, CO,1996,.,34,71,.,1
