County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg,Year
01071,"Jackson County, AL",.,.,.,.,.,.,740,181,10,.,.,.,.,.,1980
01073,"Jefferson County, AL",17.2,8.6,.,.,.,.,.,.,.,.,.,.,.,.,1980
01083,"Limestone County, AL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
01089,"Madison County, AL",9.3,7.4,.,24,0.12,0.087,.,.,.,.,.,.,.,.,1980
01103,"Morgan County, AL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
02020,"Anchorage Borough, AK",40,26.3,.,.,.,.,.,.,.,.,.,.,.,.,1980
02090,"Fairbanks North Star Borough, AK",25,16,.,.,.,.,.,.,.,.,.,.,.,.,1980
02185,"North Slope Borough, AK",2.7,0.6,.,.,.,.,.,.,.,.,.,.,.,.,1980
02261,"Valdez-Cordova Borough, AK",.,.,.,4,0.08,0.053,90,55,4,.,.,.,.,.,1980
04003,"Cochise County, AZ",15,4.1,.,.,.,.,.,.,.,.,.,.,.,.,1980
04005,"Coconino County, AZ",15,7.5,.,.,.,.,.,.,.,.,.,.,.,.,1980
04007,"Gila County, AZ",.,.,.,.,.,.,1927,233,33,.,.,.,.,.,1980
04009,"Graham County, AZ",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
04011,"Greenlee County, AZ",.,.,.,.,0.09,0.081,1349,228,38,.,.,.,.,.,1980
04013,"Maricopa County, AZ",22,18.9,.,.,0.15,0.089,.,.,.,.,.,.,.,.,1980
04019,"Pima County, AZ",21.2,11.9,.,36,0.1,0.08,768,170,9,.,.,.,.,.,1980
04021,"Pinal County, AZ",.,.,.,.,.,.,899,100,12,.,.,.,.,.,1980
04025,"Yavapai County, AZ",16.5,5.6,.,.,.,.,.,.,.,.,.,.,.,.,1980
04027,"Yuma County, AZ",14.5,6.1,.,.,.,.,.,.,.,.,.,.,.,.,1980
05009,"Boone County, AR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
05031,"Craighead County, AR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
05069,"Jefferson County, AR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
05085,"Lonoke County, AR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
05091,"Miller County, AR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
05119,"Pulaski County, AR",.,.,.,5,0.14,0.099,.,.,.,.,.,.,.,.,1980
05131,"Sebastian County, AR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
05139,"Union County, AR",.,.,.,.,.,.,.,.,.,.,.,.,.,.,1980
06001,"Alameda County, CA",11,7.4,.,25,0.18,0.1,.,.,.,.,.,.,.,.,1980
06007,"Butte County, CA",11,6.6,.,15,0.1,0.071,.,.,.,.,.,.,.,.,1980
06013,"Contra Costa County, CA",12,6.5,90,26,0.12,0.088,80,24,4,.,.,.,.,.,1980
