FIPS,year,totalemp,county
01001,2001,16211,Autauga
01001,2002,15944,Autauga
01001,2003,16484,Autauga
01001,2004,16884,Autauga
01001,2005,17404,Autauga
01001,2006,17189,Autauga
01001,2007,17998,Autauga
01001,2008,17802,Autauga
01001,2009,17483,Autauga
01001,2010,16988,Autauga
01001,2011,17298,Autauga
01001,2012,16421,Autauga
01001,2013,16476,Autauga
01001,2014,16858,Autauga
01001,2015,17278,Autauga
01001,2016,17435,Autauga
01001,2017,17806,Autauga
01001,2018,18178,Autauga
01001,2019,18318,Autauga
01001,2020,18610,Autauga
01001,2021,19170,Autauga
01003,2001,70661,Baldwin
01003,2002,71892,Baldwin
01003,2003,73844,Baldwin
01003,2004,77691,Baldwin
01003,2005,82612,Baldwin
01003,2006,87768,Baldwin
01003,2007,92728,Baldwin
01003,2008,92684,Baldwin
01003,2009,89324,Baldwin
01003,2010,89246,Baldwin
01003,2011,92000,Baldwin
01003,2012,93226,Baldwin
01003,2013,96469,Baldwin
01003,2014,99807,Baldwin
01003,2015,103917,Baldwin
01003,2016,107829,Baldwin
01003,2017,111624,Baldwin
01003,2018,115697,Baldwin
01003,2019,117000,Baldwin
01003,2020,117257,Baldwin
01003,2021,122061,Baldwin
01005,2001,15239,Barbour
01005,2002,14776,Barbour
01005,2003,14387,Barbour
01005,2004,13904,Barbour
01005,2005,14363,Barbour
01005,2006,14405,Barbour
01005,2007,14054,Barbour
01005,2008,13646,Barbour
01005,2009,12978,Barbour
01005,2010,12617,Barbour
01005,2011,12359,Barbour
01005,2012,12254,Barbour
01005,2013,12153,Barbour
01005,2014,11935,Barbour
01005,2015,12053,Barbour
01005,2016,11587,Barbour
01005,2017,11632,Barbour
01005,2018,11504,Barbour
01005,2019,11826,Barbour
01005,2020,11641,Barbour
01005,2021,11459,Barbour
01007,2001,5735,Bibb
01007,2002,5776,Bibb
01007,2003,5901,Bibb
01007,2004,6078,Bibb
01007,2005,6194,Bibb
01007,2006,6336,Bibb
01007,2007,6565,Bibb
01007,2008,6577,Bibb
01007,2009,6304,Bibb
01007,2010,6249,Bibb
01007,2011,6249,Bibb
01007,2012,6291,Bibb
01007,2013,6503,Bibb
01007,2014,6486,Bibb
01007,2015,6429,Bibb
01007,2016,6444,Bibb
01007,2017,6344,Bibb
01007,2018,6454,Bibb
01007,2019,6880,Bibb
01007,2020,6995,Bibb
01007,2021,7115,Bibb
01009,2001,14971,Blount
01009,2002,14251,Blount
01009,2003,14192,Blount
01009,2004,14298,Blount
01009,2005,15068,Blount
01009,2006,15290,Blount
01009,2007,15847,Blount
01009,2008,15551,Blount
01009,2009,15000,Blount
01009,2010,14476,Blount
01009,2011,14657,Blount
01009,2012,14475,Blount
01009,2013,14445,Blount
01009,2014,14246,Blount
01009,2015,14306,Blount
01009,2016,15163,Blount
01009,2017,15162,Blount
01009,2018,15698,Blount
01009,2019,15844,Blount
01009,2020,15719,Blount
01009,2021,15941,Blount
01011,2001,4205,Bullock
01011,2002,4209,Bullock
01011,2003,4140,Bullock
01011,2004,4167,Bullock
01011,2005,4065,Bullock
01011,2006,4013,Bullock
01011,2007,3973,Bullock
01011,2008,3960,Bullock
01011,2009,4023,Bullock
01011,2010,3976,Bullock
01011,2011,3970,Bullock
01011,2012,3900,Bullock
01011,2013,4058,Bullock
01011,2014,3976,Bullock
01011,2015,4098,Bullock
01011,2016,4159,Bullock
01011,2017,4213,Bullock
01011,2018,4288,Bullock
01011,2019,4251,Bullock
01011,2020,4261,Bullock
01011,2021,4122,Bullock
01013,2001,9206,Butler
01013,2002,9226,Butler
01013,2003,9025,Butler
01013,2004,9181,Butler
01013,2005,9523,Butler
01013,2006,9802,Butler
01013,2007,9745,Butler
01013,2008,9500,Butler
01013,2009,8816,Butler
01013,2010,9097,Butler
01013,2011,9382,Butler
01013,2012,9192,Butler
01013,2013,9296,Butler
01013,2014,9626,Butler
01013,2015,9656,Butler
01013,2016,9691,Butler
01013,2017,9512,Butler
01013,2018,9539,Butler
01013,2019,9698,Butler
01013,2020,9188,Butler
01013,2021,9285,Butler
01015,2001,59639,Calhoun
01015,2002,60124,Calhoun
01015,2003,60521,Calhoun
01015,2004,62604,Calhoun
01015,2005,63108,Calhoun
01015,2006,63816,Calhoun
01015,2007,65674,Calhoun
01015,2008,64696,Calhoun
01015,2009,61551,Calhoun
01015,2010,60194,Calhoun
01015,2011,60613,Calhoun
01015,2012,59998,Calhoun
01015,2013,58414,Calhoun
01015,2014,58092,Calhoun
01015,2015,58062,Calhoun
01015,2016,57697,Calhoun
01015,2017,58550,Calhoun
01015,2018,58800,Calhoun
01015,2019,58468,Calhoun
01015,2020,57303,Calhoun
01015,2021,58474,Calhoun
01017,2001,15646,Chambers
01017,2002,15270,Chambers
01017,2003,14709,Chambers
01017,2004,14516,Chambers
01017,2005,14564,Chambers
01017,2006,13867,Chambers
01017,2007,13779,Chambers
01017,2008,12074,Chambers
01017,2009,11034,Chambers
01017,2010,11328,Chambers
01017,2011,12315,Chambers
01017,2012,12254,Chambers
01017,2013,12301,Chambers
01017,2014,12454,Chambers
01017,2015,12341,Chambers
01017,2016,12421,Chambers
01017,2017,12501,Chambers
01017,2018,12564,Chambers
01017,2019,12392,Chambers
01017,2020,12307,Chambers
01017,2021,12501,Chambers
01019,2001,7370,Cherokee
01019,2002,7390,Cherokee
01019,2003,7495,Cherokee
01019,2004,7794,Cherokee
01019,2005,7838,Cherokee
01019,2006,7861,Cherokee
01019,2007,8157,Cherokee
01019,2008,8109,Cherokee
01019,2009,7756,Cherokee
01019,2010,7664,Cherokee
01019,2011,7741,Cherokee
01019,2012,7730,Cherokee
01019,2013,7994,Cherokee
01019,2014,8029,Cherokee
01019,2015,7970,Cherokee
01019,2016,8233,Cherokee
01019,2017,8191,Cherokee
01019,2018,8604,Cherokee
01019,2019,8433,Cherokee
01019,2020,8221,Cherokee
01019,2021,8527,Cherokee
01021,2001,12394,Chilton
01021,2002,12425,Chilton
01021,2003,12422,Chilton
01021,2004,12873,Chilton
01021,2005,13146,Chilton
01021,2006,13596,Chilton
01021,2007,13930,Chilton
01021,2008,13467,Chilton
01021,2009,12834,Chilton
01021,2010,12694,Chilton
01021,2011,13256,Chilton
01021,2012,13784,Chilton
01021,2013,14190,Chilton
01021,2014,14363,Chilton
01021,2015,14455,Chilton
01021,2016,14839,Chilton
01021,2017,14642,Chilton
01021,2018,15089,Chilton
01021,2019,15044,Chilton
01021,2020,14886,Chilton
01021,2021,15045,Chilton
01023,2001,5879,Choctaw
01023,2002,5668,Choctaw
01023,2003,5530,Choctaw
01023,2004,5549,Choctaw
01023,2005,5542,Choctaw
01023,2006,5661,Choctaw
01023,2007,5635,Choctaw
01023,2008,5531,Choctaw
01023,2009,5379,Choctaw
01023,2010,5174,Choctaw
01023,2011,5503,Choctaw
01023,2012,5513,Choctaw
01023,2013,5493,Choctaw
01023,2014,5292,Choctaw
01023,2015,5234,Choctaw
01023,2016,5181,Choctaw
01023,2017,5297,Choctaw
01023,2018,5585,Choctaw
01023,2019,5433,Choctaw
01023,2020,5359,Choctaw
01023,2021,5441,Choctaw
01025,2001,12606,Clarke
01025,2002,12677,Clarke
01025,2003,12704,Clarke
01025,2004,12961,Clarke
01025,2005,13197,Clarke
01025,2006,13375,Clarke
01025,2007,13784,Clarke
01025,2008,13362,Clarke
01025,2009,12426,Clarke
01025,2010,12221,Clarke
01025,2011,12081,Clarke
01025,2012,11982,Clarke
01025,2013,11987,Clarke
01025,2014,12045,Clarke
01025,2015,12143,Clarke
01025,2016,11922,Clarke
01025,2017,11784,Clarke
01025,2018,11686,Clarke
01025,2019,11626,Clarke
01025,2020,11486,Clarke
01025,2021,11779,Clarke
01027,2001,6815,Clay
01027,2002,6534,Clay
01027,2003,6153,Clay
01027,2004,6247,Clay
01027,2005,6383,Clay
01027,2006,6654,Clay
01027,2007,6704,Clay
01027,2008,6209,Clay
01027,2009,5692,Clay
01027,2010,5578,Clay
01027,2011,5550,Clay
01027,2012,5448,Clay
01027,2013,5450,Clay
01027,2014,5632,Clay
01027,2015,5757,Clay
01027,2016,5918,Clay
01027,2017,6035,Clay
01027,2018,6237,Clay
01027,2019,6173,Clay
01027,2020,6159,Clay
01027,2021,6176,Clay
01029,2001,4739,Cleburne
01029,2002,4707,Cleburne
01029,2003,4474,Cleburne
01029,2004,4536,Cleburne
01029,2005,4574,Cleburne
01029,2006,4577,Cleburne
01029,2007,4521,Cleburne
01029,2008,4535,Cleburne
01029,2009,4368,Cleburne
01029,2010,4204,Cleburne
01029,2011,4255,Cleburne
01029,2012,4183,Cleburne
01029,2013,4268,Cleburne
01029,2014,4285,Cleburne
01029,2015,4061,Cleburne
01029,2016,4261,Cleburne
01029,2017,4106,Cleburne
01029,2018,4100,Cleburne
01029,2019,3940,Cleburne
01029,2020,4050,Cleburne
01029,2021,4213,Cleburne
01031,2001,19038,Coffee
01031,2002,19085,Coffee
01031,2003,19303,Coffee
01031,2004,20051,Coffee
01031,2005,20570,Coffee
01031,2006,21420,Coffee
01031,2007,21951,Coffee
01031,2008,21236,Coffee
01031,2009,21273,Coffee
01031,2010,21164,Coffee
01031,2011,20996,Coffee
01031,2012,21132,Coffee
01031,2013,21116,Coffee
01031,2014,21234,Coffee
01031,2015,21607,Coffee
01031,2016,21966,Coffee
01031,2017,22332,Coffee
01031,2018,22725,Coffee
01031,2019,23192,Coffee
01031,2020,22918,Coffee
01031,2021,23673,Coffee
01033,2001,27819,Colbert
01033,2002,27338,Colbert
01033,2003,27167,Colbert
01033,2004,28082,Colbert
01033,2005,28652,Colbert
01033,2006,29442,Colbert
01033,2007,29626,Colbert
01033,2008,29584,Colbert
01033,2009,28733,Colbert
01033,2010,29256,Colbert
01033,2011,29600,Colbert
01033,2012,29770,Colbert
01033,2013,30597,Colbert
01033,2014,30931,Colbert
01033,2015,31610,Colbert
01033,2016,31678,Colbert
01033,2017,31607,Colbert
01033,2018,31817,Colbert
01033,2019,32275,Colbert
01033,2020,31449,Colbert
01033,2021,31882,Colbert
01035,2001,5723,Conecuh
01035,2002,5711,Conecuh
01035,2003,5809,Conecuh
01035,2004,5927,Conecuh
01035,2005,6082,Conecuh
01035,2006,6020,Conecuh
01035,2007,5840,Conecuh
01035,2008,5683,Conecuh
01035,2009,5178,Conecuh
01035,2010,4917,Conecuh
01035,2011,4973,Conecuh
01035,2012,4881,Conecuh
01035,2013,5197,Conecuh
01035,2014,5226,Conecuh
01035,2015,5249,Conecuh
01035,2016,5157,Conecuh
01035,2017,5145,Conecuh
01035,2018,5182,Conecuh
01035,2019,5059,Conecuh
01035,2020,4964,Conecuh
01035,2021,4917,Conecuh
01037,2001,2905,Coosa
01037,2002,2786,Coosa
01037,2003,2673,Coosa
01037,2004,2601,Coosa
01037,2005,2823,Coosa
01037,2006,2921,Coosa
01037,2007,2781,Coosa
01037,2008,2665,Coosa
01037,2009,2537,Coosa
01037,2010,2386,Coosa
01037,2011,2356,Coosa
01037,2012,2378,Coosa
01037,2013,2260,Coosa
01037,2014,2324,Coosa
01037,2015,2323,Coosa
01037,2016,2287,Coosa
01037,2017,2342,Coosa
01037,2018,2435,Coosa
01037,2019,2412,Coosa
01037,2020,2357,Coosa
01037,2021,2390,Coosa
01039,2001,17714,Covington
01039,2002,17855,Covington
01039,2003,17664,Covington
01039,2004,18040,Covington
01039,2005,18431,Covington
01039,2006,18826,Covington
01039,2007,19150,Covington
01039,2008,18650,Covington
01039,2009,17832,Covington
01039,2010,17865,Covington
01039,2011,18053,Covington
01039,2012,18240,Covington
01039,2013,18051,Covington
01039,2014,17950,Covington
01039,2015,17720,Covington
01039,2016,17832,Covington
01039,2017,17788,Covington
01039,2018,17790,Covington
01039,2019,17410,Covington
01039,2020,16964,Covington
01039,2021,17286,Covington
01041,2001,4784,Crenshaw
01041,2002,4729,Crenshaw
01041,2003,4834,Crenshaw
01041,2004,4989,Crenshaw
01041,2005,5289,Crenshaw
01041,2006,5769,Crenshaw
01041,2007,5961,Crenshaw
01041,2008,5970,Crenshaw
01041,2009,5708,Crenshaw
01041,2010,5720,Crenshaw
01041,2011,5901,Crenshaw
01041,2012,5756,Crenshaw
01041,2013,5933,Crenshaw
01041,2014,6102,Crenshaw
01041,2015,6209,Crenshaw
01041,2016,6274,Crenshaw
01041,2017,6028,Crenshaw
01041,2018,5967,Crenshaw
01041,2019,5924,Crenshaw
01041,2020,5624,Crenshaw
01041,2021,5563,Crenshaw
01043,2001,37654,Cullman
01043,2002,36998,Cullman
01043,2003,37297,Cullman
01043,2004,38520,Cullman
01043,2005,39086,Cullman
01043,2006,40422,Cullman
01043,2007,41335,Cullman
01043,2008,40359,Cullman
01043,2009,38426,Cullman
01043,2010,37615,Cullman
01043,2011,37778,Cullman
01043,2012,38058,Cullman
01043,2013,38705,Cullman
01043,2014,39234,Cullman
01043,2015,40441,Cullman
01043,2016,41597,Cullman
01043,2017,41709,Cullman
01043,2018,42238,Cullman
01043,2019,42074,Cullman
01043,2020,41833,Cullman
01043,2021,43041,Cullman
01045,2001,27053,Dale
01045,2002,27099,Dale
01045,2003,26906,Dale
01045,2004,26903,Dale
01045,2005,26842,Dale
