FIPS,coast
01003,Gulf of Mexico
01097,Gulf of Mexico
02013,Pacific
02016,Pacific
02020,Pacific
02050,Pacific
02060,Pacific
02070,Pacific
02100,Pacific
02105,Pacific
02110,Pacific
02122,Pacific
02130,Pacific
02150,Pacific
02158,Pacific
02164,Pacific
02170,Pacific
02180,Pacific
02185,Pacific
02188,Pacific
02195,Pacific
02198,Pacific
02220,Pacific
02230,Pacific
02261,Pacific
02275,Pacific
02282,Pacific
06001,Pacific
06013,Pacific
06015,Pacific
06023,Pacific
06037,Pacific
06041,Pacific
06045,Pacific
06053,Pacific
06059,Pacific
06073,Pacific
06075,Pacific
06079,Pacific
06081,Pacific
06083,Pacific
06085,Pacific
06087,Pacific
06095,Pacific
06097,Pacific
06111,Pacific
09001,Atlantic
09007,Atlantic
09009,Atlantic
09011,Atlantic
10001,Atlantic
10003,Atlantic
10005,Atlantic
12005,Gulf of Mexico
12009,Atlantic
12011,Atlantic
12015,Gulf of Mexico
12017,Gulf of Mexico
12021,Gulf of Mexico
12029,Gulf of Mexico
12031,Atlantic
12033,Gulf of Mexico
12035,Atlantic
12037,Gulf of Mexico
12045,Gulf of Mexico
12053,Gulf of Mexico
12057,Gulf of Mexico
12061,Atlantic
12065,Gulf of Mexico
12071,Gulf of Mexico
12075,Gulf of Mexico
12081,Gulf of Mexico
12085,Atlantic
12086,Atlantic
12087,Gulf of Mexico
12089,Atlantic
12091,Gulf of Mexico
12099,Atlantic
12101,Gulf of Mexico
12103,Gulf of Mexico
12109,Atlantic
12111,Atlantic
12113,Gulf of Mexico
12115,Gulf of Mexico
12123,Gulf of Mexico
12127,Atlantic
12129,Gulf of Mexico
12131,Gulf of Mexico
13029,Atlantic
13039,Atlantic
13051,Atlantic
13127,Atlantic
13179,Atlantic
13191,Atlantic
15001,Pacific
15003,Pacific
15005,Pacific
15007,Pacific
15009,Pacific
22023,Gulf of Mexico
22045,Gulf of Mexico
22051,Gulf of Mexico
22057,Gulf of Mexico
22071,Gulf of Mexico
22075,Gulf of Mexico
22087,Gulf of Mexico
22101,Gulf of Mexico
22103,Gulf of Mexico
22109,Gulf of Mexico
22113,Gulf of Mexico
23005,Atlantic
23009,Atlantic
23013,Atlantic
23015,Atlantic
23023,Atlantic
23027,Atlantic
23029,Atlantic
23031,Atlantic
24003,Atlantic
24005,Atlantic
24009,Atlantic
24015,Atlantic
24017,Atlantic
24019,Atlantic
24025,Atlantic
24029,Atlantic
24035,Atlantic
24037,Atlantic
24039,Atlantic
24041,Atlantic
24045,Atlantic
24047,Atlantic
24510,Atlantic
25001,Atlantic
25005,Atlantic
25007,Atlantic
25009,Atlantic
25019,Atlantic
25021,Atlantic
25023,Atlantic
25025,Atlantic
28045,Gulf of Mexico
28047,Gulf of Mexico
28059,Gulf of Mexico
33015,Atlantic
34001,Atlantic
34009,Atlantic
34011,Atlantic
34013,Atlantic
34017,Atlantic
34023,Atlantic
34025,Atlantic
34029,Atlantic
34033,Atlantic
34039,Atlantic
36005,Atlantic
36047,Atlantic
36059,Atlantic
36061,Atlantic
36081,Atlantic
36085,Atlantic
36103,Atlantic
36119,Atlantic
37013,Atlantic
37015,Atlantic
37019,Atlantic
37029,Atlantic
37031,Atlantic
37041,Atlantic
37049,Atlantic
37053,Atlantic
37055,Atlantic
37095,Atlantic
37129,Atlantic
37133,Atlantic
37137,Atlantic
37139,Atlantic
37141,Atlantic
37143,Atlantic
37177,Atlantic
37187,Atlantic
41007,Pacific
41011,Pacific
41015,Pacific
41019,Pacific
41039,Pacific
41041,Pacific
41057,Pacific
44001,Atlantic
44003,Atlantic
44005,Atlantic
44007,Atlantic
44009,Atlantic
45013,Atlantic
45019,Atlantic
45029,Atlantic
45043,Atlantic
45051,Atlantic
45053,Atlantic
48007,Gulf of Mexico
48039,Gulf of Mexico
48057,Gulf of Mexico
48061,Gulf of Mexico
48071,Gulf of Mexico
48167,Gulf of Mexico
48201,Gulf of Mexico
48239,Gulf of Mexico
48245,Gulf of Mexico
48261,Gulf of Mexico
48273,Gulf of Mexico
48321,Gulf of Mexico
48355,Gulf of Mexico
48391,Gulf of Mexico
48409,Gulf of Mexico
48469,Gulf of Mexico
48489,Gulf of Mexico
51001,Atlantic
51057,Atlantic
51059,Atlantic
51073,Atlantic
51093,Atlantic
51095,Atlantic
51099,Atlantic
51103,Atlantic
51115,Atlantic
51119,Atlantic
51131,Atlantic
51133,Atlantic
51153,Atlantic
51159,Atlantic
51179,Atlantic
51181,Atlantic
51193,Atlantic
51199,Atlantic
51650,Atlantic
51700,Atlantic
51710,Atlantic
51735,Atlantic
51740,Atlantic
51800,Atlantic
51810,Atlantic
53009,Pacific
53027,Pacific
53029,Pacific
53031,Pacific
53033,Pacific
53035,Pacific
53045,Pacific
53049,Pacific
53053,Pacific
53055,Pacific
53057,Pacific
53061,Pacific
53069,Pacific
53073,Pacific
