FIPS,n_oil_wells,n_gas_wells
01001,0,0
01003,23,20
01005,0,0
01007,0,69
01009,0,0
01011,0,0
01013,0,0
01015,0,0
01017,0,0
01019,0,0
01021,0,0
01023,56,0
01025,41,0
01027,0,0
01029,0,0
01031,0,0
01033,0,0
01035,177,0
01037,0,0
01039,12,0
01041,0,0
01043,0,0
01045,0,0
01047,0,0
01049,0,0
01051,0,0
01053,117,28
01055,0,0
01057,24,117
01059,0,2
01061,0,0
01063,0,0
01065,0,0
01067,0,0
01069,0,0
01071,0,0
01073,0,1117
01075,58,151
01077,0,0
01079,0,1
01081,0,0
01083,0,0
01085,0,0
01087,0,0
01089,0,0
01091,0,0
01093,1,16
01095,0,0
01097,162,49
01099,36,3
01101,0,0
01103,0,0
01105,0,0
01107,65,67
01109,0,0
01111,0,0
01113,0,0
01115,0,10
01117,0,317
01119,0,0
01121,0,0
01123,0,0
01125,0,4344
01127,0,271
01129,0,12
01131,0,0
01133,0,0
02013,0,0
02016,0,0
02020,0,0
02050,0,0
02060,0,0
02068,0,0
02070,0,0
02090,0,0
02100,0,0
02105,0,0
02110,0,0
02122,0,0
02130,0,0
02150,0,0
02164,0,0
02170,0,0
02180,0,0
02185,0,0
02188,0,0
02195,0,0
02198,0,0
02220,0,0
02230,0,0
02240,0,0
02261,0,0
02270,0,0
02275,0,0
02282,0,0
02290,0,0
04001,25,7
04003,0,0
04005,0,0
04007,0,0
04009,0,0
04011,0,0
04012,0,0
04013,0,0
04015,0,0
04017,0,0
04019,0,0
04021,0,0
04023,0,0
04025,0,0
04027,0,0
05001,0,0
05003,2,0
05005,0,0
05007,0,0
05009,0,0
05011,21,0
05013,22,0
05015,0,0
05017,0,0
05019,0,0
05021,0,0
05023,0,1111
05025,0,0
05027,527,0
05029,0,1226
05031,0,0
05033,0,409
05035,0,0
05037,0,0
05039,0,0
05041,0,0
05043,0,0
05045,0,485
05047,0,992
05049,0,0
05051,0,0
05053,0,0
05055,0,0
05057,3,0
05059,0,0
05061,0,0
05063,0,69
05065,0,0
05067,0,24
05069,0,0
05071,0,336
05073,177,0
05075,0,0
05077,0,0
05079,0,0
05081,0,0
05083,0,1095
05085,0,0
05087,0,2
05089,0,0
05091,137,0
05093,0,0
05095,0,0
05097,0,0
05099,64,1
05101,0,0
05103,161,0
05105,0,0
05107,0,0
05109,0,0
05111,0,0
05113,0,0
05115,0,244
05117,0,0
05119,0,0
05121,0,0
05123,0,0
05125,0,0
05127,0,193
05129,0,0
05131,0,1154
05133,0,0
05135,0,0
05137,0,0
05139,484,2
05141,0,1614
05143,0,30
05145,1,1338
05147,0,0
05149,0,201
06001,7,0
06003,0,0
06005,0,0
06007,0,9
06009,0,0
06011,0,248
06013,5,28
06015,0,0
06017,0,0
06019,3011,1
06021,0,279
06023,0,32
06025,0,0
06027,0,0
06029,60243,219
06031,219,1
06033,0,0
06035,0,0
06037,4822,12
06039,0,12
06041,0,0
06043,0,0
06045,0,0
06047,0,0
06049,0,0
06051,0,0
06053,1259,0
06055,0,0
06057,0,0
06059,1267,0
06061,0,0
06063,0,0
06065,0,0
06067,0,133
06069,28,2
06071,30,0
06073,0,0
06075,0,0
06077,0,51
06079,318,0
06081,10,0
06083,1738,4
06085,14,0
06087,0,0
06089,0,0
06091,0,0
06093,0,0
06095,0,125
06097,0,0
