fips,reg,sub,acc,huc_code1,huc_name1,cat1,huc_code2,huc_name2,cat2,huc_code3,huc_name3,cat3,huc_code4,huc_name4,cat4,huc_code5,huc_name5,cat5,huc_code6,huc_name6,cat6,huc_code7,huc_name7,cat7,huc_code8,huc_name8,cat8,huc_code9,huc_name9,cat9,huc_code10,huc_name10,cat10,huc_code11,huc_name11,cat11,huc_code12,huc_name12,cat12,huc_code13,huc_name13,cat13,huc_code14,huc_name14,cat14,huc_code15,huc_name15,cat15,huc_code16,huc_name16,cat16,huc_code17,huc_name17,cat17,huc_code18,huc_name18,cat18,huc_code19,huc_name19,cat19,huc_code20,huc_name20,cat20,huc_code21,huc_name21,cat21,huc_code22,huc_name22,cat22,modal_reg,modal_sub,modal_acc
1001,3,315,31502,"03150107","Lower Coosa","03150107","03150201","Upper Alabama","03150201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0315","031502"
1003,3,316,31602,"03160203","Lower Tambigbee","03160203","03140106","Perdido","03140106","03160204","Mobile - Tensaw","03160204","03140107","Perdido Bay","03140107","03160205","Mobile Bay","03160205","03150204","Lower Alabama","03150204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0316","031602"
1005,3,314,31402,"03140201","Upper Choctawhatchee","03140201","03130003","Middle Chattahoochee-Walter F. George R","03130003","03140202","Pea","03140202","03130004","Lower Chattahoochee","03130004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0314","031402"
1007,3,316,31601,"03150202","Cahaba","03150202","03150201","Upper Alabama","03150201","03160113","Lower Black Warrior","03160113","03160112","Upper Black Warrior","03160112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0316","031601"
1009,3,316,31601,"03160111","Locust","03160111","03160109","Mulberry","03160109","06030001","Guntersville Lake","06030001","03150106","Middle Coosa","03150106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0316","031601"
1011,3,315,31502,"03140301","Upper Conecuh","03140301","03150201","Upper Alabama","03150201","03140202","Pea","03140202","03130003","Middle Chattahoochee-Walter F. George R","03130003","03150110","Lower Tallapoosa","03150110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0315","031502"
1013,3,314,31403,"03140302","Patsaliga","03140302","03150203","Middle Alabama","03150203","03140303","Sepulga","03140303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0314","031403"
1015,3,315,31501,"03150105","Upper Coosa","03150105","03150106","Middle Coosa","03150106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0315","031501"
1017,3,315,31501,"03150110","Lower Tallapoosa","03150110","03130002","Middle Chattahoochee-Lake Harding","03130002","03150109","Middle Tallapoosa","03150109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0315","031501"
1019,3,315,31501,"03150106","Middle Coosa","03150106","03150105","Upper Coosa","03150105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0315","031501"
1021,3,315,31502,"03150201","Upper Alabama","03150201","03150202","Cahaba","03150202","03150107","Lower Coosa","03150107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0315","031502"
1023,3,316,31602,"03160201","Middle Tombigbee-Chickasaw","03160201","03170002","Upper Chickasawhay","03170002","03160203","Lower Tambigbee","03160203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0316","031602"
1025,3,316,31602,"03150203","Middle Alabama","03150203","03160201","Middle Tombigbee-Chickasaw","03160201","03150204","Lower Alabama","03150204","03160203","Lower Tambigbee","03160203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0316","031602"
1031,3,314,31402,"03140103","Yellow","03140103","03140201","Upper Choctawhatchee","03140201","03140202","Pea","03140202","03140301","Upper Conecuh","03140301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0314","031402"
1033,6,603,60300,"06030005","Pickwick Lake","06030005","06030006","Bear","06030006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06","0603","060300"
1037,3,315,31501,"03150107","Lower Coosa","03150107","03150109","Middle Tallapoosa","03150109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0315","031501"
1041,3,314,31403,"03140301","Upper Conecuh","03140301","03150201","Upper Alabama","03150201","03140303","Sepulga","03140303","03140103","Yellow","03140103","03140202","Pea","03140202","03140302","Patsaliga","03140302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0314","031403"
1043,6,603,60300,"03160109","Mulberry","03160109","06030001","Guntersville Lake","06030001","03160110","Sipsey Fork","03160110","06030002","Wheeler Lake","06030002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06","0603","060300"
1045,3,314,31402,"03140202","Pea","03140202","03140201","Upper Choctawhatchee","03140201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03","0314","031402"
